idproducto,nombreproducto,precioproducto
2,"1/2 POLLO ASADO",9000
3,"1/4 POLLO ASADO",4700
4,"1 POLLO APANADO",18000
5,"1/2 POLLO APANADO",9500
6,"1/4 POLLO APANADO",5000
7,CONSOME,2000
8,"ARROZ CON POLLO",10500
9,CHURRASCO,13990
10,"BANDEJA  ASADO ENSAL CA",7500
11,"BANDEJA  APANA ENS CASER",7800
12,"PORCION DE ARROZ",1000
13,"PORCION DE PAPA SALADA",1500
14,"PORCION DE MADURO",1500
15,"PORCION DE FRIJOLES",800
16,"ENSALADA CASERA",1300
17,"ENSALADA DE PIÑA",1300
18,"PAPA A LA FRANCESA",2000
19,"GASEOSA 350",1500
20,"GASEOSA NO RETORNABLE",2500
21,"JUGO HIT 250ML",1200
22,"GASEOSA FAMILIAR 1.5 L",3500
23,"AGUA TARRO CON/SIN GAS",2000
24,"AGUA SABORIZADA",2500
25,"MR TEA",1200
26,PONIMALTA,1500
27,"COLA Y POLA",1500
28,"CERVEZA POKER",2000
29,"CERVEZA CLUB COLOMBIA",2500
30,"1 POLLO ASADO DOMICILIO",17300
31,"1 POLLO APANADO DOMICILIO",18300
32,"1/2 ASAD0 DOMICILIO",9300
33,"1/4 ASADO DOMICILIO",5000
34,"PORCION AREPAS",500
35,"CERVEZA POKER LATA",2500
36,"1 1/2 POLLO ASADO",25500
37,"3/4  CUARTOS ASADO",14200
38,"2 POLLOS ASADO",34000
39,"1 1/2 APANADO",27000
40,"3/4 APANADOS",14500
41,"2  POLLOS APANADOS",36000
42,"1 1/2 ASADO DOMICILIO",26000
44,"1/2 POLLO APANADO DOMICIL",9800
45,"1/4 POLLO APANADO DOMICLI",5300
46,"1 1/2 POLLO APANADO DOM",27800
47,"BANDEJA ASADO DOMICILIO",8100
48,"BANDEJA APANADO DOMICILI",8400
49,"ARROZ CON POLLO DOMICILI",10800
50,"CONSOME DOMICILIO",2300
51,"CHURRASCO DOMICILIO",14300
52,"ALMUERZO ASADO DOMICILIO",9500
53,"ALMUERZO APANADO DOMICI",9500
54,"CAMBIO ENSALADA DE PIÑA",0
65,"ALMUE ASADO ENS CASERA",9300
60,"BANDEJA APANA ENS PIÑA",7800
57,"3/4 POLLO ASADO DOMICILIO",13800
58,"3/4 POLLO APANADO DOMIC",14800
500,1-A,0
501,AJAX,0
502,AXION,0
503,"SHAMPOO PARA MANOS",0
504,DECOL,0
505,DETERGENTE,0
506,ESCOBA,0
508,ESPONJAS,0
509,ESPONJILLAS,0
510,"GUANTES DE CARNAZA",0
511,"GUANTES NEGROS",0
512,"JABON BARRA",0
513,LIJA,0
514,"PAPEL HIGIENICO ROLLO",0
515,SABRA,0
516,TRAPEROS,0
550,"BOLSA CALI&CALI 1POLLO",0
551,"BOLSA CALI&CALI 1/4",0
552,"BOLSA AJI",0
553,"BOLSA BASURA",0
554,"BOLSA ROLLO",0
555,BOMBILLOS,0
556,CARBON,0
557,"COPA AJI",0
558,"CUCHURA PLASTICA SOPA",0
559,"CUCHARA PLASTICA AJI",0
560,"VASOS POR 25 UNIDADES",0
561,FOSFOROS,0
562,GRASA,0
600,PALILLOS,0
601,PITILLOS,0
602,"SALSA DE TOMATE",0
603,SERVILLETAS,0
604,"VASOS X 25 UNIDADES",0
605,MIEL,0
606,"ACEITE DE COCINA",0
607,"AJI FRASCO",0
608,"CEBOLLA LARGA",0
609,CILANTRO,0
610,"LIMONES LIBRA",0
611,MAYONESA,0
612,REPOLLO,0
613,SAL,0
614,"SALSA DE ARROZ CON POLLO",0
615,MAGGUI,0
616,"PAPA SOPA",0
617,"HARINA APANAR",0
618,RICOSTILLA,0
619,COLR,0
62,"BANDEJA ASADO ENSAL PIÑA",7500
622,LAPICEROS,0
623,CUADERNOS,0
624,CORRECTOR,0
625,"PAPELERIA VARIA",0
626,CONSIGNACIONES,0
627,CUCHARAS,0
628,TENEDORES,0
629,CUCHILLOS,0
630,"CUCHILLO DE COCINA",0
631,PIOLA,0
632,"OLLA 40*40",0
633,"OLLA 40*30",0
634,"OLLA PEQUEÑA",0
635,CUCHARON,0
636,"PLATOS CONSOME",0
637,"PLATOS 1/4",0
638,CUBIERTEROS,0
639,SALEROS,0
640,"BANDEJAS PARA BANDEJAS",0
641,"BANDEJAS PARA POLLO",0
642,"GUANTES CLCIENTES",0
643,"BOLSA T 30",0
644,"CORREA HORNO",0
645,CALCULADORA,0
646,GRAPADORA,0
647,"PINZAS PARA POLLO",0
648,"TIJERAS PARA POLLO",0
649,ENSALADERAS,0
650,"COCAS APANADO",0
651,"T 30",0
652,BALASTRO,0
100,"SERVICIO A DOMICILIO",1500
68,"COSTILLITA AHUMADA",13990
66,"ALMU APANA ENS PIÑA",9300
61,"PORCION ARROZ DOMICILIO",1200
653,"TAZA SOPA 16 ONZ",300
101,BANDEJITAS,300
63,"TILAPIA ACOMPAÑADA",10990
64,"CHULETA DE CERDO",12990
67,"CROQUETA DE YUCA",1990
69,"ALITAS BBQ",13990
76,VERDURAS,0
71,"BANDEJA  DOMICILIO  P1",300
72,"ARROZ CONSUMO EMPLEADO",0
73,"FRIJOLES DOMICILIO",2300
74,"ENSALADA CASERA  DOMICILI",1500
75,"ENSALADA DE PIÑA DOMICILI",1500
77,"JUGO HIT 500ML NO RETORN",2300
150,"JUGO 350 HIT ENVASE DE VIDRIO",1500
78,"BANDEJA J2",300
102,"Combo Cali&Cali Mesa",21800
103,"Combo Cali&Cali Llevar",21800
104,"Combo Cali&Cali Domicilios",21800
105,"Promocion Bandeja Muslo Presa",6500
106,"Promocion Muslo",2000
107,"Chuleta de Pollo",2000
108,"Promocion Bandeja Chuleta",6500
109,"ROLLO POLLO",0
110,"OBSEQUIOS MUSLOS",0
111,"1 Pollo Asado Domiciilio CC",17500
112,"1/2 Asado Domicilio CC",9500
113,"1 Pollo Apanado Domicilio CC",18500
114,"1/2 Pollo Apado Domicilio CC",10000
115,"Empaque CYC 1",400
116,"Empaque CYC 1/2",400
117,"Almuerzo Ejecutivo Completo Res",6000
118,"Almuerzo Ejecutivo Completo Cerdo",6000
119,"BANDEJA CON RES",4500
120,"BANDEJA CON CERDO",4500
121,CALDO,2500
